,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Race,Department,Education Level Updated
79,30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,Hispanic,Sales & Marketing,Bachelor's Degree
80,36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,White,Technology,Bachelor's Degree
81,41.0,Female,Master's,Data Analyst,13.0,80000.0,Other,Technology,Master's Degree
82,25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,Other,Sales & Marketing,Bachelor's Degree
83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,White,Technology,PhD
84,29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,Asian,Other,Bachelor's Degree
85,34.0,Female,Master's,Financial Advisor,10.0,95000.0,African American,Finance,Master's Degree
86,27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,African American,Sales & Marketing,Bachelor's Degree
87,40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,White,Human Resources,Bachelor's Degree
88,46.0,Male,Master's,Senior Project Manager,21.0,135000.0,White,Product & Project Management,Master's Degree
89,31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,Hispanic,Sales & Marketing,Bachelor's Degree
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,White,Research & Strategy,PhD
91,29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,Asian,Sales & Marketing,Bachelor's Degree
92,43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,African American,Operations,Bachelor's Degree
93,52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,Hispanic,Sales & Marketing,Master's Degree
94,33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,White,Finance,Bachelor's Degree
95,39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,Other,Human Resources,Bachelor's Degree
96,47.0,Male,PhD,Research Scientist,22.0,160000.0,Other,Research & Strategy,PhD
97,26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,Hispanic,Technology,Bachelor's Degree
98,38.0,Female,Master's,Public Relations Manager,10.0,90000.0,Asian,Sales & Marketing,Master's Degree
99,45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,White,Operations,Bachelor's Degree
100,31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,Other,Other,Bachelor's Degree
101,35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,Hispanic,Sales & Marketing,Master's Degree
102,49.0,Female,Master's,Senior HR Manager,19.0,150000.0,Asian,Human Resources,Master's Degree
103,33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,Other,Technology,Bachelor's Degree
104,39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,White,Product & Project Management,Master's Degree
105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0,Hispanic,Technology,PhD
106,30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,Hispanic,Technology,Bachelor's Degree
107,36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,Asian,Technology,Bachelor's Degree
108,41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,White,Sales & Marketing,Master's Degree
109,28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,Asian,Sales & Marketing,Bachelor's Degree
110,42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,Asian,Other,Master's Degree
111,37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,African American,Technology,Bachelor's Degree
112,50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,White,Operations,Bachelor's Degree
113,32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,Hispanic,Finance,Master's Degree
114,23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,African American,Sales & Marketing,Bachelor's Degree
115,31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,African American,Finance,Master's Degree
116,40.0,Female,Bachelor's,Office Manager,15.0,65000.0,Asian,Administration,Bachelor's Degree
117,48.0,Male,PhD,Principal Engineer,20.0,170000.0,African American,Technology,PhD
118,29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,Asian,Human Resources,Bachelor's Degree
119,35.0,Male,Master's,Senior Product Manager,10.0,120000.0,African American,Product & Project Management,Master's Degree
120,42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,African American,Sales & Marketing,Bachelor's Degree
121,53.0,Male,Master's,Director of Marketing,25.0,180000.0,White,Sales & Marketing,Master's Degree
122,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,Asian,Operations,Bachelor's Degree
123,38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,White,Sales & Marketing,Bachelor's Degree
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0,African American,Research & Strategy,PhD
125,26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,White,Sales & Marketing,Bachelor's Degree
126,37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,Other,Human Resources,Master's Degree
127,45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,African American,Sales & Marketing,Bachelor's Degree
128,32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,Other,Sales & Marketing,Bachelor's Degree
129,34.0,Male,Master's,Senior Software Developer,8.0,105000.0,African American,Technology,Master's Degree
130,50.0,Female,Master's,Director of Operations,21.0,160000.0,White,Operations,Master's Degree
131,29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,Other,Technology,Bachelor's Degree
132,40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,Other,Human Resources,Master's Degree
133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,Asian,Research & Strategy,PhD
134,27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,Hispanic,Sales & Marketing,Bachelor's Degree
135,39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,Asian,Administration,Bachelor's Degree
136,46.0,Male,Master's,Senior Project Manager,19.0,140000.0,African American,Product & Project Management,Master's Degree
137,30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,Other,Sales & Marketing,Bachelor's Degree
138,36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,White,Technology,Bachelor's Degree
139,43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,Asian,Sales & Marketing,Master's Degree
140,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,Hispanic,Finance,Bachelor's Degree
141,41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,African American,Sales & Marketing,Master's Degree
142,33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,African American,Technology,Bachelor's Degree
143,47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,White,Sales & Marketing,Bachelor's Degree
144,25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,Other,Sales & Marketing,Master's Degree
145,34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,White,Finance,Bachelor's Degree
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,Hispanic,Technology,PhD
147,31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,Asian,Product & Project Management,Bachelor's Degree
148,38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,White,Sales & Marketing,Bachelor's Degree
149,45.0,Male,Master's,Director of Sales,19.0,175000.0,African American,Sales & Marketing,Master's Degree
150,29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,African American,Technology,Bachelor's Degree
151,36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,White,Finance,Master's Degree
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0,White,Product & Project Management,PhD
153,26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,Other,Sales & Marketing,Bachelor's Degree
154,37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,Asian,Sales & Marketing,Master's Degree
155,44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,African American,Technology,Bachelor's Degree
156,32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,Asian,Finance,Bachelor's Degree
157,33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,Other,Operations,Master's Degree
158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0,Hispanic,Human Resources,PhD
159,28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,Hispanic,Technology,Bachelor's Degree
160,39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,Other,Sales & Marketing,Bachelor's Degree
161,48.0,Male,Master's,Director of Product Management,21.0,175000.0,White,Product & Project Management,Master's Degree
162,30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,Other,Technology,Bachelor's Degree
163,35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,African American,Sales & Marketing,Bachelor's Degree
164,41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,White,Human Resources,Master's Degree
165,27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,Asian,Finance,Bachelor's Degree
166,40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,White,Sales & Marketing,Bachelor's Degree
167,46.0,Male,PhD,Senior Researcher,18.0,150000.0,White,Research & Strategy,PhD
168,31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,White,Human Resources,Bachelor's Degree
169,34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,Asian,Technology,Master's Degree
170,50.0,Female,Master's,Director of Finance,20.0,180000.0,African American,Finance,Master's Degree
171,29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Other,Sales & Marketing,Bachelor's Degree
173,43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,Asian,Product & Project Management,Bachelor's Degree
174,26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,Hispanic,Technology,Master's Degree
175,35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,Asian,Operations,Bachelor's Degree
176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,White,Sales & Marketing,PhD
177,31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,African American,Sales & Marketing,Bachelor's Degree
178,38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,Hispanic,Human Resources,Bachelor's Degree
179,46.0,Male,Master's,Director of Operations,20.0,170000.0,Asian,Operations,Master's Degree
180,29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,White,Sales & Marketing,Bachelor's Degree
181,37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,Hispanic,Finance,Master's Degree
182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0,African American,Technology,PhD
183,27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,Other,Product & Project Management,Bachelor's Degree
184,36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,African American,Sales & Marketing,Bachelor's Degree
185,43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,Hispanic,Technology,Bachelor's Degree
186,33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,White,Finance,Master's Degree
187,34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,Hispanic,Technology,Bachelor's Degree
188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,African American,Sales & Marketing,PhD
189,28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,Hispanic,Operations,Bachelor's Degree
190,39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,White,Sales & Marketing,Bachelor's Degree
191,47.0,Male,Master's,Director of Business Development,19.0,170000.0,African American,Finance,Master's Degree
192,30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,Hispanic,Sales & Marketing,Bachelor's Degree
193,34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,Asian,Product & Project Management,Bachelor's Degree
194,40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,White,Human Resources,Master's Degree
195,28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,African American,Finance,Bachelor's Degree
196,41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,African American,Sales & Marketing,Bachelor's Degree
197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,African American,Technology,PhD
198,32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,Asian,Sales & Marketing,Bachelor's Degree
199,35.0,Male,Master's,Senior Software Developer,9.0,110000.0,Hispanic,Technology,Master's Degree
200,49.0,Female,Master's,Director of Human Capital,21.0,180000.0,Asian,Technology,Master's Degree
201,30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,Asian,Other,Bachelor's Degree
202,44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,African American,Sales & Marketing,Bachelor's Degree
203,27.0,Female,Master's,Junior UX Designer,1.5,45000.0,White,Technology,Master's Degree
204,36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,Asian,Sales & Marketing,Bachelor's Degree
205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,Hispanic,Sales & Marketing,PhD
206,31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,African American,Human Resources,Bachelor's Degree
207,39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,White,Operations,Bachelor's Degree
208,47.0,Male,Master's,Director of Finance,20.0,170000.0,African American,Finance,Master's Degree
209,30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Hispanic,Sales & Marketing,Bachelor's Degree
210,38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,Hispanic,Technology,Master's Degree
211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Other,Product & Project Management,PhD
212,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,Asian,Finance,Bachelor's Degree
213,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,Other,Sales & Marketing,Bachelor's Degree
214,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,Asian,Technology,Bachelor's Degree
215,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,African American,Finance,Master's Degree
216,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Other,Product & Project Management,Bachelor's Degree
217,50.0,Female,PhD,Director of Operations,22.0,180000.0,White,Operations,PhD
218,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,African American,Finance,Bachelor's Degree
219,40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,African American,Sales & Marketing,Bachelor's Degree
220,48.0,Male,Master's,Director of Marketing,19.0,170000.0,White,Sales & Marketing,Master's Degree
221,31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,White,Sales & Marketing,Bachelor's Degree
222,33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,African American,Product & Project Management,Bachelor's Degree
223,42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,African American,Human Resources,Master's Degree
224,28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,White,Finance,Bachelor's Degree
225,40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,Hispanic,Sales & Marketing,Bachelor's Degree
226,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Asian,Technology,PhD
227,33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,Other,Operations,Bachelor's Degree
228,37.0,Male,Master's,Senior Software Architect,9.0,120000.0,White,Technology,Master's Degree
229,51.0,Female,Master's,Director of Human Resources,21.0,190000.0,African American,Human Resources,Master's Degree
230,30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,Other,Sales & Marketing,Bachelor's Degree
231,43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,African American,Product & Project Management,Bachelor's Degree
232,27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,White,Research & Strategy,Master's Degree
233,35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,African American,Operations,Bachelor's Degree
234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,Hispanic,Sales & Marketing,PhD
235,32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,Hispanic,Sales & Marketing,Bachelor's Degree
236,37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,Other,Finance,Bachelor's Degree
237,45.0,Male,Master's,Senior Software Developer,16.0,140000.0,African American,Technology,Master's Degree
238,33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,Other,Operations,Bachelor's Degree
239,39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,Other,Sales & Marketing,Bachelor's Degree
240,44.0,Female,PhD,Senior HR Manager,18.0,160000.0,Other,Human Resources,PhD
241,29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,Asian,Finance,Bachelor's Degree
242,38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,Hispanic,Product & Project Management,Bachelor's Degree
243,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,Other,Technology,PhD
244,34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,Asian,Sales & Marketing,Bachelor's Degree
245,36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,White,Operations,Bachelor's Degree
246,49.0,Female,Master's,Director of Marketing,21.0,180000.0,Hispanic,Sales & Marketing,Master's Degree
247,31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,African American,Finance,Bachelor's Degree
248,41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,Hispanic,Product & Project Management,Bachelor's Degree
249,47.0,Male,Master's,Director of Operations,20.0,170000.0,Hispanic,Operations,Master's Degree
250,30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,Other,Sales & Marketing,Bachelor's Degree
251,38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,African American,Technology,Master's Degree
252,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Hispanic,Product & Project Management,PhD
253,28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,White,Finance,Bachelor's Degree
254,35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,African American,Sales & Marketing,Bachelor's Degree
255,44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,African American,Technology,Bachelor's Degree
256,34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,African American,Finance,Master's Degree
257,35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,Asian,Product & Project Management,Bachelor's Degree
258,50.0,Female,PhD,Director of Operations,22.0,180000.0,Other,Operations,PhD
259,29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,Hispanic,Finance,Bachelor's Degree
261,37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,Other,Finance,Bachelor's Degree
262,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Asian,Technology,PhD
263,31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,Hispanic,Sales & Marketing,Bachelor's Degree
264,42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,Other,Operations,Bachelor's Degree
265,29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,Asian,Sales & Marketing,Bachelor's Degree
266,36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,African American,Sales & Marketing,Bachelor's Degree
267,44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,Hispanic,Human Resources,Master's Degree
268,33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,Other,Operations,Bachelor's Degree
269,39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,White,Sales & Marketing,Bachelor's Degree
270,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Hispanic,Technology,PhD
271,32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,White,Sales & Marketing,Bachelor's Degree
272,37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,African American,Finance,Bachelor's Degree
273,47.0,Female,Master's,Director of Marketing,20.0,180000.0,Hispanic,Sales & Marketing,Master's Degree
274,30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,African American,Finance,Bachelor's Degree
